word,1501-1550,1551-1600,1601-1650,1651-1700,mean,in_lila_embeddings,in_lasla,in_operamaiora,transl
caro,3480,14647,3063,3857,6261.75,True,True,True,"dearly, dear, at a high price"
aristoteles,2216,13312,4826,4550,6226.0,True,True,True,Aristotle
mensis,3464,9587,4182,7671,6226.0,True,True,True,"table, dining, dish, course"
lux,2276,8011,6024,8043,6088.5,True,True,True,light
diuersus,4451,13024,3281,3483,6059.75,True,True,True,
uenio,4513,8998,4816,5895,6055.5,True,True,True,
significo,3117,14115,2709,4131,6018.0,True,True,True,"signify, indicate, show"
efficio,3156,10404,4595,5627,5945.5,True,True,True,"bring about, effect, execute, cause, accomplish, make, produce, prove"
inferus,3381,9371,4525,6444,5930.25,True,True,True,"below, beneath, underneath, of hell, vile, lower, further down, lowest, last"
lego,3965,11259,2661,5769,5913.5,True,True,True,"read, choose, select, to steal, read, choose, read, choose, collect, gather, choose, pick, read, collect, gather, choose, pick, read"
vnus,2068,9785,5224,6292,5842.25,False,False,False,"one, single, alone"
contingo,3251,9225,4337,6498,5827.75,True,True,True,"happen, befall, turn out, come to pass, be granted to one, be produced"
frigidus,2649,14184,3322,2957,5778.0,True,True,True,"cold, cool, chilly, frigid, lifeless, indifferent, dull"
arbor,4173,7123,5481,6242,5754.75,True,True,True,tree
humanus,3070,8184,4587,7057,5724.5,True,True,True,human
doceo,3086,7285,4408,8054,5708.25,True,True,True,teach
oportet,4300,11475,3190,3809,5693.5,True,True,True,(impersonal pronoun) It is necessary for ...to
herba,6720,8267,2709,5065,5690.25,True,True,True,"herb, grass"
uox,2729,8532,3082,8218,5640.25,True,True,True,
reddo,3481,8567,3720,6782,5637.5,True,True,True,"return, restore, deliver, hand over, pay back, render, give back, translate"
reperio,2677,8055,4730,7030,5623.0,True,True,True,"find, discover, learn, get"
produco,2395,8174,4529,7236,5583.5,True,True,True,"lead forward, bring out, reveal, induce, promote, stretch out, prolong, bury"
musculus,6665,9316,3042,3289,5578.0,True,True,True,"little mouse, small rodent, common mouse, various (sea) creatures, mussel"
ibid,498,5625,6320,9812,5563.75,False,False,False,
constituo,2969,7589,5001,6621,5545.0,True,True,True,"decide, establish, settle, resolve, I place, put, locate, lay, I set up, establish, constitute, found, I build, erect, construct, I line up, deploy, order, I deliberete, decide, resolve, I nominate, appoint, elect, I place, put, locate, lay, I set up, establish, constitute, found, I build, erect, construct, I line up, deploy, order, I deliberete, decide, resolve, I nominate, appoint, elect"
conuenio,3124,12199,2940,3853,5529.0,True,True,True,
sumo,2810,10635,3478,5160,5520.75,True,True,True,take
oleum,3683,12410,3124,2819,5509.0,True,True,True,oil
piscis,2504,13076,2250,4189,5504.75,True,True,True,fish
lex,4846,7802,3499,5619,5441.5,True,True,True,"(1.) law, rule (2.) law, statute, motion, bill, principle, condition (3.) law, rule"
pateo,2099,7965,4543,7141,5437.0,True,True,True,"be open, lie open, be accessible, be evident"
initium,3031,7291,4374,6949,5411.25,True,True,True,"beginning, commencement"
uena,5928,11207,2402,1959,5374.0,True,True,True,
credo,3817,7033,3907,6714,5367.75,True,True,True,"believe, trust"
prior,2675,7314,4855,6457,5325.25,True,True,True,"ancestors (pl.), forefathers, predecessors, people of an earlier time"
mos,3741,7968,3574,5996,5319.75,True,True,True,"habit, custom, manner, (plural) habits, character"
sinus,5460,6333,5371,3777,5235.25,True,True,True,"bowl for serving wine, etc"
exsisto,2867,9938,3800,4258,5215.75,False,True,False,"exist, emerge"
christus,1879,6679,5129,7045,5183.0,False,False,True,Christ
cognosco,3231,10020,3448,3940,5159.75,True,True,True,"become acquainted with, learn, recognize, (in perf.) know, become acquainted with/aware of, find to be, inquire/examine"
coelum,3974,7866,5141,3572,5138.25,False,False,False,"sky, heaven, heavens, space, air, climate, weather, universe, world, Jehovah"
filius,2801,8401,3044,6210,5114.0,True,True,True,son
scio,3315,7803,3348,5911,5094.25,True,True,True,know
trado,4451,8004,3009,4862,5081.5,True,True,True,"give over, surrender, hand down, transmit, teach"
fructus,2745,7943,5083,4535,5076.5,True,True,True,"fruit, profit, benefit, enjoyment"
qualitas,2269,10867,3956,3197,5072.25,True,True,True,"character/nature, essential/distinguishing quality/characteristic, G:mood"
quantitas,3048,8571,3489,5131,5059.75,False,False,True,"magnitude/multitude, quantity, degree, size, (specified) amount/quantity/sum"
ferè,2301,8012,3510,6353,5044.0,False,False,False,"(1.) bear, carry, bring (2.) suffer, endure, tolerate (3.) say, report"
latitudo,2777,5515,4758,7066,5029.0,True,True,True,"width, breadth, extent"
paucus,3015,6988,3325,6677,5001.25,True,True,True,"only a small/an indefinite number of people (pl.), few, a few, a select few"
lumen,2036,7747,5169,5028,4995.0,True,True,True,"light, light, light"
pag,720,4627,5337,9138,4955.5,False,False,False,
facultas,2079,11380,3519,2797,4943.75,True,True,True,"means, ability, skill, opportunity, chance, resources (pl.), supplies"
contrarius,2290,9562,3943,3815,4902.5,True,True,True,"opposite, contrary, in contradiction, antithetical, opposed/hostile/adverse"
niger,3232,8289,3644,4439,4901.0,True,True,True,"black, dark, unlucky"
describo,2349,6091,4099,7054,4898.25,True,True,True,"describe/draw, mark/trace out, copy/transcribe/write, establish (law/right)"
relinquo,3492,7484,3227,5152,4838.75,True,True,True,"leave behind, leave, abandon, desert"
graecus,5475,6963,2623,4265,4831.5,True,True,True,Greek
radius,1418,4710,5965,7167,4815.0,True,True,True,"ray, rod"
adeò,1434,5580,3144,9054,4803.0,False,False,False,"to such a degree/pass/point, precisely, exactly, thus far, indeed, truly, even, to go towards, approach"
quadratus,3029,6225,3345,6562,4790.25,False,True,False,"square up, make square/suitable, square/fit, quadruple, form rectangular shape"
altus,2556,5392,3747,7466,4790.25,True,True,True,"nourish, support, sustain, increase, cherish"
exemplum,3152,5115,3918,6897,4770.5,True,True,True,example
pondus,2265,4549,3855,8342,4752.75,True,True,True,"weight, burden, impediment"
colligo,2872,6450,3184,6360,4716.5,True,True,True,"bind/tie/pack together/up, connect, unite/unify, fetter/bind, immobilize, stop"
uia,2876,6922,3947,5068,4703.25,True,True,True,"way, road"
membrum,3174,11041,1665,2904,4696.0,True,True,True,"member, limb, organ, (esp.) male genital member, apartment, room, section"
situs,2632,6070,4933,5070,4676.25,True,True,True,"allow, permit"
simplex,2576,9097,3443,3492,4652.0,True,True,True,"single, simple, unaffected, plain"
caeterus,2726,6765,3104,5970,4641.25,False,False,False,"the_other, the_others (pl.). the_remaining/rest, all the rest"
historia,2679,5527,3873,6473,4638.0,True,True,True,"history, account, story"
caelum,1762,4308,4496,7946,4628.0,True,True,True,"heaven, sky"
propono,1868,7728,4027,4871,4623.5,True,True,True,"display, propose, relate, put or place forward"
praedico,2783,7878,2880,4949,4622.5,True,True,True,"proclaim/declare/make known/publish/announce formally, praise/recommend, preach"
accedo,2754,6482,3801,5452,4622.25,True,True,True,"come, approach, approach to, go against, get in, to approach, to approach"
elementum,2496,9790,3205,2996,4621.75,True,True,True,"elements (pl.), rudiments, beginnings, kinds of matter (earth/air/fire/water)"
sentio,3277,8310,2960,3902,4612.25,True,True,True,"feel, perceive, think, experience"
digitus,3088,6211,4029,5088,4604.0,True,True,True,"finger, toe"
planta,1368,6954,4329,5704,4588.75,True,True,True,"propagate from cuttings, set out, transplant (L+S), fix in place, form, make"
tabula,2956,4234,4064,7080,4583.5,True,True,True,"writing tablet (wax covered board), records (pl.), document, deed, will, list"
nomino,4032,10559,1651,2082,4581.0,True,True,True,"name, call"
dominus,2230,6773,4124,5118,4561.25,True,True,True,"mister, gentleman, lord"
capio,3248,7752,2527,4696,4555.75,True,True,True,catch
gratia,3110,8000,2998,4089,4549.25,True,True,True,thanks
humor,2767,9312,3116,2866,4515.25,True,True,True,"inter, bury"
bonum,2015,10280,2181,3478,4488.5,True,True,True,"(1.) good, great, pleasant, favorable, valuable (2.) able, useful, satisfactory, talented, efficient"
utor,3839,8389,2158,3486,4468.0,True,True,True,"(1.) use (2.) enjoy, experience"
uetus,2689,5616,4053,5497,4463.75,True,True,True,
probo,2128,6011,3714,5957,4452.5,True,True,True,"test, approve, recommend"
lingua,3850,6616,2978,4231,4418.75,True,True,True,"language, tongue"
ad,2082,5820,3530,6241,4418.25,True,True,True,"(1.) to, toward, near, at, in, by, about (with number), according to, almost, up to, until, on (2.) for, at"
opinio,1948,6714,2950,5896,4377.0,True,True,True,"belief, idea, opinion, rumor (Plater)"
oppono,2118,6628,3954,4510,4302.5,True,True,True,oppose
sectio,2112,5235,4942,4918,4301.75,True,True,True,"cutting/severing, mowing, surgery, castration, disposal/buying up booty"
mors,2592,5969,3333,5300,4298.5,True,True,True,death
argumentum,2432,5281,3356,6060,4282.25,True,True,True,argument
romanus,3176,4053,3718,6147,4273.5,True,True,True,"roman, Roman"
uniuersus,2723,8149,2768,3442,4270.5,True,True,True,
recipio,2025,8032,3063,3928,4262.0,True,True,True,"take back, recover/regain, admit, receive, keep back, withdraw, undertake, guarantee, accept"
insula,2918,3894,5800,4272,4221.0,False,True,False,island
obseruo,1641,4067,2655,8516,4219.75,True,True,True,"slave, slaves (male)"
terminus,2336,5994,3485,5055,4217.5,True,True,True,"boundary, limit, end, terminus"
instrumentum,1721,8614,2782,3737,4213.5,True,True,True,"tool, tools, equipment, apparatus, instrument, means, document (leg.), deed"
spatium,1130,3375,4027,8313,4211.25,True,True,True,"space, area/expanse, room (for), intervening space, gap/interval, length/width"
actio,1334,9673,3246,2509,4190.5,True,True,True,"(1.) action (2.) act, action, activity, deed, incident, plot (play), legal process, suit, plea (3.) action"
labor,2882,5725,3352,4766,4181.25,True,True,True,"work, effort"
polus,2168,4605,5325,4627,4181.25,True,True,True,"little, small, (only a) small amount/quantity of/little bit of"
urbs,3056,4070,4926,4603,4163.75,True,True,True,"city, town"
demonstro,1699,5629,4319,4984,4157.75,True,True,True,"point out, show, demonstrate"
caius,2336,7452,2517,4253,4139.5,True,True,True,
differo,2148,7735,3044,3610,4134.25,True,True,True,give way
potentia,1716,7151,2903,4763,4133.25,True,True,True,"powerful, strong, capable, mighty"
pater,2563,5811,3581,4510,4116.25,True,True,True,father
loquor,2264,6250,3053,4887,4113.5,True,True,True,"say, speak, tell"
verò,324,4958,4507,6652,4110.25,False,False,False,"true, real, proper"
com,230,14597,842,716,4096.25,False,False,False,together
generatio,1366,8146,4031,2772,4078.75,False,False,True,"generation, action/process of procreating, begetting, generation of men/family"
lo,2704,7077,3020,3513,4078.5,False,False,False,Lo!
sphaera,1288,5329,4943,4696,4064.0,False,False,True,"globe, sphere, orb, ball, orrery/working model of universe (spheres of planets)"
fides,2448,4654,3688,5465,4063.75,True,True,True,"faith, trust, confidence, Faith, Confidence"
diuinus,1985,9125,2047,3057,4053.5,True,True,True,
nox,2817,4907,3160,5229,4028.25,True,True,True,night
antiquus,2323,5570,3026,5186,4026.25,True,True,True,"ancient, old-time, antique"
basis,1219,7380,4033,3469,4025.25,True,True,True,Base
litera,2627,5019,1833,6605,4021.0,False,False,False,"letter (alphabet), (pl.) letter, epistle, literature, books, records, account"
posterus,2730,5613,3271,4397,4002.75,True,True,True,following
confero,2057,8259,2061,3587,3991.0,True,True,True,"(1.) bring together, compare (2.) confer, bestow"
curo,2458,7789,2372,3337,3989.0,True,True,True,care (for sb.)
ro,2673,7225,1856,4158,3978.0,False,False,False,
genero,1745,7657,3708,2800,3977.5,True,True,True,"beget, father, produce, procreate, spring/descend from (PASSIVE)"
edo,1707,4741,4099,5243,3947.5,False,True,False,to eat
neruus,3278,8826,1849,1814,3941.75,True,True,True,
orior,2100,5469,3664,4521,3938.5,True,True,True,"rise (sun/river), arise/emerge, crop up, get up (wake), begin, originate from"
tio,2629,6824,1883,4389,3931.25,False,False,False,
aurum,2238,5319,3518,4647,3930.5,True,True,True,gold
marcus,1499,4927,3695,5585,3926.5,True,True,True,"Marcus (Roman praenomen), Tempus, Iulius"
compono,2124,5771,2866,4805,3891.5,True,True,True,"compare, add, place, put, collect together, collate, match (up), store, hoard, calm"
diuido,2996,6908,2593,3066,3890.75,True,True,True,
respondeo,1783,5014,3211,5461,3867.25,True,True,True,"respond, answer"
modò,1307,5552,2574,5981,3853.5,False,False,False,"(1.) measure, bound, limit (2.) manner, method, mode, way"
flos,3294,5723,3929,2449,3848.75,True,True,True,"flower, blossom, youthful prime"
disto,2085,4269,3368,5587,3827.25,True,True,True,"stand apart, be distant, be different"
cometa,98,2315,2382,10513,3827.0,False,False,False,"comet, meteor, luminous body in sky w/trail/tail"
crassus,1826,8000,2685,2706,3804.25,True,True,True,"thick/deep, thick coated (w/ABL), turbid/muddy (river), dense/concentrated/solid, fat"
equus,2301,7914,1297,3603,3778.75,True,True,True,horse
uas,2060,5235,2685,5075,3763.75,False,True,False,
durus,2475,7351,2790,2273,3722.25,True,True,True,"hard, harsh, rough, stern, unfeeling, hardy, difficult"
patior,2304,6480,2540,3550,3718.5,True,True,True,"suffer, endure, permit"
distinguo,1328,6351,2980,4201,3715.0,True,True,True,"distinguish, separate, divide, part, adorn, decorate"
aetas,2666,5799,2606,3771,3710.5,True,True,True,"(1.) period, time of life, age, season (2.) period of life, life, age, an age, time (3.) period, time of life, age, season"
solidus,1140,4343,4540,4750,3693.25,True,True,True,"solid, same material throughout, unalloyed, not hollow, dense, unbroken/whole"
praecedo,1380,4307,2989,6079,3688.75,True,True,True,"go before, precede, surpass, excel"
mitto,2211,5917,2383,4239,3687.5,True,True,True,send
rego,1628,6401,3473,3236,3684.5,True,True,True,rule
seco,1238,6768,3540,3126,3668.0,True,True,True,"cut, sever, decide, divide in two, halve, split, slice, chop, cut up, carve, detach"
nosco,2277,3986,2860,5549,3668.0,True,True,True,"get to know, learn, find out, become cognizant of/acquainted/familiar with"
graeci,3617,5494,1749,3812,3668.0,False,True,False,Greek
affectus,1327,8293,2291,2726,3659.25,True,True,True,"manage, influence, make"
quaero,1829,4935,3012,4834,3652.5,True,True,True,"search, research, ask"
indico,2471,5490,2297,4319,3644.25,True,True,True,"point out, show, indicate, expose, betray, reveal, inform against, accuse"
notus,3359,4236,2330,4646,3642.75,False,True,False,"famous, known, noted, popular"
explico,1487,4328,3693,5057,3641.25,True,True,True,"(1.) unfold, explain (2.) spread out, deploy"
